Sample in Buffer,Sample in Window,TRIGGER,design_1_i/system_ila_0/inst/net_slot_0_axis_tdata[63:0],design_1_i/system_ila_0/inst/net_slot_0_axis_tvalid,design_1_i/system_ila_0/inst/net_slot_0_axis_tready,design_1_i/system_ila_0/inst/net_slot_0_axis_tlast,design_1_i/system_ila_0/inst/net_slot_1_axis_tdata[31:0],design_1_i/system_ila_0/inst/net_slot_1_axis_tvalid,design_1_i/system_ila_0/inst/net_slot_1_axis_tready,design_1_i/system_ila_0/inst/net_slot_1_axis_tlast,design_1_i/system_ila_0/inst/net_slot_2_axis_tdata[31:0],design_1_i/system_ila_0/inst/net_slot_2_axis_tvalid,design_1_i/system_ila_0/inst/net_slot_2_axis_tready,design_1_i/system_ila_0/inst/net_slot_2_axis_tlast,Interface_(i1:s0)_(xfft_0_M_AXIS_DATA)[2:0],Interface_(i1:s1)_(axis_dwidth_converter_0_M_AXIS)[2:0],Interface_(i1:s2)_(floating_point_0_M_AXIS_RESULT)[2:0],T_Channel_(i1:s0)_(xfft_0_M_AXIS_DATA)[2:0],T_Channel_(i1:s1)_(axis_dwidth_converter_0_M_AXIS)[2:0],T_Channel_(i1:s2)_(floating_point_0_M_AXIS_RESULT)[2:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX
49,49,0,0000000000000000,0,1,0,00000000,0,1,0,7f800000,0,1,0,"Inactive","Inactive","Inactive","No Streams","No Streams","No Streams"
50,50,0,0000000000000000,0,1,0,00000000,0,1,0,7f800000,0,1,0,"Inactive","Inactive","Inactive","No Streams","No Streams","No Streams"
51,51,0,0000000000000000,0,1,0,00000000,0,1,0,7f800000,0,1,0,"Inactive","Inactive","Inactive","No Streams","No Streams","No Streams"
52,52,0,0000000000000000,0,1,0,00000000,0,1,0,7f800000,0,1,0,"Inactive","Inactive","Inactive","No Streams","No Streams","No Streams"
53,53,0,0000000000000000,0,1,0,00000000,0,1,0,7f800000,0,1,0,"Inactive","Inactive","Inactive","No Streams","No Streams","No Streams"
54,54,0,0000000000000000,0,1,0,00000000,0,1,0,7f800000,0,1,0,"Inactive","Inactive","Inactive","No Streams","No Streams","No Streams"
55,55,0,0000000000000000,0,1,0,00000000,0,1,0,7f800000,0,1,0,"Inactive","Inactive","Inactive","No Streams","No Streams","No Streams"
56,56,0,0000000000000000,0,1,0,00000000,0,1,0,7f800000,0,1,0,"Inactive","Inactive","Inactive","No Streams","No Streams","No Streams"
57,57,0,0000000000000000,0,1,0,00000000,0,1,0,7f800000,0,1,0,"Inactive","Inactive","Inactive","No Streams","No Streams","No Streams"
58,58,0,0000000000000000,0,1,0,00000000,0,1,0,7f800000,0,1,0,"Inactive","Inactive","Inactive","No Streams","No Streams","No Streams"
59,59,0,0000000000000000,0,1,0,00000000,0,1,0,7f800000,0,1,0,"Inactive","Inactive","Inactive","No Streams","No Streams","No Streams"
60,60,0,0000000000000000,0,1,0,00000000,0,1,0,7f800000,0,1,0,"Inactive","Inactive","Inactive","No Streams","No Streams","No Streams"
61,61,0,0000000000000000,0,1,0,00000000,0,1,0,7f800000,0,1,0,"Inactive","Inactive","Inactive","No Streams","No Streams","No Streams"
62,62,0,0000000000000000,0,1,0,00000000,0,1,0,7f800000,0,1,0,"Inactive","Inactive","Inactive","No Streams","No Streams","No Streams"
63,63,0,0000000000000000,0,1,0,00000000,0,1,0,7f800000,0,1,0,"Inactive","Inactive","Inactive","No Streams","No Streams","No Streams"
